"Date VDH Notified","Health Region","Facility Type Group","Number of Outbreaks"
08/29/2020,Central,"Congregate Setting",1
08/29/2020,Central,"Healthcare Setting",1
08/29/2020,Southwest,"Congregate Setting",1
08/30/2020,Southwest,"Long Term Care Facilities",2
08/31/2020,Central,"College / University",1
08/31/2020,Central,"Congregate Setting",2
08/31/2020,Northwest,"Congregate Setting",1
09/01/2020,Central,"Child Care",1
09/01/2020,Eastern,"Congregate Setting",1
09/01/2020,Eastern,"Long Term Care Facilities",2
09/01/2020,Southwest,"Correctional Facility",1
09/01/2020,Southwest,"Long Term Care Facilities",1
09/02/2020,Central,"Congregate Setting",1
09/02/2020,Central,"Long Term Care Facilities",2
09/02/2020,Eastern,"Congregate Setting",1
09/02/2020,Northern,"Congregate Setting",5
09/02/2020,Southwest,"College / University",1
09/02/2020,Southwest,"Congregate Setting",2
09/02/2020,Southwest,"Long Term Care Facilities",1
09/03/2020,Central,"College / University",1
09/03/2020,Central,"Correctional Facility",1
09/03/2020,Central,"Long Term Care Facilities",1
09/03/2020,Northern,"Congregate Setting",1
09/03/2020,Southwest,"Congregate Setting",1
09/04/2020,Central,"College / University",4
09/04/2020,Central,K-12,1
09/04/2020,Central,"Long Term Care Facilities",1
09/04/2020,Northern,"Congregate Setting",2
09/04/2020,Northern,"Long Term Care Facilities",2
09/04/2020,Northwest,"Long Term Care Facilities",1
09/04/2020,Southwest,"Congregate Setting",4
09/04/2020,Southwest,"Long Term Care Facilities",1
09/05/2020,Eastern,"Congregate Setting",1
09/05/2020,Eastern,"Long Term Care Facilities",1
09/05/2020,Southwest,"Long Term Care Facilities",1
09/06/2020,Eastern,"Correctional Facility",1
09/06/2020,Southwest,"Long Term Care Facilities",1
09/07/2020,Central,"Congregate Setting",1
09/07/2020,Central,K-12,1
09/07/2020,Eastern,"Child Care",1
09/07/2020,Northwest,"College / University",1
09/08/2020,Central,"Congregate Setting",3
09/08/2020,Eastern,"Long Term Care Facilities",1
09/08/2020,Northern,"Congregate Setting",1
09/08/2020,Northwest,"Congregate Setting",1
09/08/2020,Southwest,"Congregate Setting",1
09/09/2020,Central,"Healthcare Setting",1
09/09/2020,Northern,"Congregate Setting",1
09/09/2020,Northern,"Long Term Care Facilities",1
09/10/2020,Central,"Congregate Setting",1
09/10/2020,Northern,"Congregate Setting",2
09/10/2020,Northern,"Long Term Care Facilities",1
09/10/2020,Northwest,"Healthcare Setting",1
09/10/2020,Southwest,"Congregate Setting",1
09/10/2020,Southwest,K-12,1
09/10/2020,Southwest,"Long Term Care Facilities",1
09/11/2020,Central,"Congregate Setting",1
09/11/2020,Eastern,"Congregate Setting",1
09/11/2020,Eastern,"Correctional Facility",1
09/11/2020,Northern,"Child Care",2
09/11/2020,Northern,"Congregate Setting",2
09/11/2020,Northern,"Long Term Care Facilities",1
09/11/2020,Southwest,"Congregate Setting",1
09/11/2020,Southwest,K-12,1
09/11/2020,Southwest,"Long Term Care Facilities",2
09/12/2020,Central,"Congregate Setting",1
09/12/2020,Central,K-12,1
09/13/2020,Central,"Long Term Care Facilities",1
09/13/2020,Northwest,"Congregate Setting",3
09/14/2020,Central,"Child Care",1
09/14/2020,Central,"Congregate Setting",1
09/14/2020,Central,"Healthcare Setting",2
09/14/2020,Central,K-12,1
09/14/2020,Central,"Long Term Care Facilities",2
09/14/2020,Northern,"Child Care",1
09/14/2020,Northern,"Congregate Setting",2
09/14/2020,Southwest,"Congregate Setting",1
09/14/2020,Southwest,K-12,1
09/15/2020,Eastern,"Congregate Setting",1
09/15/2020,Eastern,"Long Term Care Facilities",2
09/15/2020,Northern,"Congregate Setting",2
09/15/2020,Northwest,"Correctional Facility",3
09/15/2020,Southwest,"Congregate Setting",5
09/15/2020,Southwest,K-12,2
09/16/2020,Eastern,"Healthcare Setting",1
09/16/2020,Northern,"Congregate Setting",1
09/16/2020,Northwest,"College / University",1
09/16/2020,Southwest,"College / University",1
09/17/2020,Central,"College / University",1
09/17/2020,Central,"Healthcare Setting",1
09/17/2020,Northern,"Congregate Setting",1
09/17/2020,Northwest,"College / University",1
09/17/2020,Northwest,"Congregate Setting",3
09/17/2020,Northwest,K-12,1
09/17/2020,Northwest,"Long Term Care Facilities",1
09/17/2020,Southwest,"College / University",1
09/18/2020,Central,K-12,1
09/18/2020,Eastern,"Congregate Setting",2
09/18/2020,Eastern,K-12,2
09/18/2020,Eastern,"Long Term Care Facilities",1
09/18/2020,Northern,"Child Care",1
09/18/2020,Northern,"Congregate Setting",1
09/18/2020,Northern,"Long Term Care Facilities",1
09/18/2020,Northwest,"Child Care",1
09/18/2020,Northwest,"Congregate Setting",1
09/18/2020,Northwest,"Correctional Facility",1
09/18/2020,Northwest,"Healthcare Setting",1
09/18/2020,Southwest,"Congregate Setting",1
09/19/2020,Northwest,"College / University",1
09/20/2020,Northwest,"Long Term Care Facilities",2
09/21/2020,Northern,"Child Care",1
09/21/2020,Northern,"College / University",1
09/21/2020,Northern,"Long Term Care Facilities",1
09/21/2020,Northwest,"Congregate Setting",1
09/21/2020,Northwest,"Healthcare Setting",1
09/21/2020,Southwest,"Congregate Setting",1
09/21/2020,Southwest,"Long Term Care Facilities",1
09/22/2020,Central,"Congregate Setting",2
09/22/2020,Central,K-12,1
09/22/2020,Eastern,"Congregate Setting",1
09/22/2020,Northern,"Congregate Setting",1
09/22/2020,Southwest,"Congregate Setting",2
09/22/2020,Southwest,"Correctional Facility",1
09/22/2020,Southwest,K-12,1
09/22/2020,Southwest,"Long Term Care Facilities",1
09/23/2020,Eastern,"Congregate Setting",1
09/23/2020,Southwest,"College / University",1
09/24/2020,Central,K-12,2
09/24/2020,Central,"Long Term Care Facilities",1
09/24/2020,Southwest,K-12,1
09/24/2020,Southwest,"Long Term Care Facilities",1
09/25/2020,Central,"Healthcare Setting",3
09/25/2020,Central,"Long Term Care Facilities",1
09/25/2020,Northern,"Child Care",1
09/25/2020,Northern,"Congregate Setting",1
09/25/2020,Northern,"Long Term Care Facilities",1
09/25/2020,Northwest,"Healthcare Setting",1
09/26/2020,Central,"Healthcare Setting",1
09/27/2020,Eastern,"Congregate Setting",1
09/27/2020,Southwest,"Congregate Setting",10
09/27/2020,Southwest,"Long Term Care Facilities",3
09/28/2020,Central,"Long Term Care Facilities",1
09/28/2020,Eastern,"Congregate Setting",2
09/28/2020,Eastern,"Long Term Care Facilities",1
09/28/2020,Northern,"Congregate Setting",1
09/28/2020,Northwest,"Child Care",1
09/28/2020,Northwest,"College / University",3
09/28/2020,Southwest,"Long Term Care Facilities",1
09/29/2020,Central,"Congregate Setting",1
09/29/2020,Central,"Long Term Care Facilities",1
09/29/2020,Eastern,"Long Term Care Facilities",1
09/29/2020,Northern,"Child Care",1
09/30/2020,Central,"Congregate Setting",3
09/30/2020,Eastern,"Child Care",1
09/30/2020,Eastern,"Congregate Setting",2
09/30/2020,Eastern,"Long Term Care Facilities",1
09/30/2020,Northern,"Correctional Facility",1
09/30/2020,Northwest,"Child Care",1
09/30/2020,Northwest,"Congregate Setting",1
09/30/2020,Northwest,"Healthcare Setting",1
09/30/2020,Northwest,"Long Term Care Facilities",1
10/01/2020,Central,"Long Term Care Facilities",3
10/01/2020,Northern,"Child Care",3
10/01/2020,Northern,"Congregate Setting",1
10/01/2020,Northern,"Healthcare Setting",1
10/01/2020,Northern,K-12,1
10/01/2020,Northwest,"Congregate Setting",1
10/01/2020,Northwest,"Long Term Care Facilities",1
10/01/2020,Southwest,"Congregate Setting",2
10/01/2020,Southwest,K-12,2
10/01/2020,Southwest,"Long Term Care Facilities",1
10/02/2020,Eastern,"College / University",1
10/02/2020,Eastern,"Congregate Setting",1
10/02/2020,Eastern,"Long Term Care Facilities",1
10/02/2020,Northern,"Healthcare Setting",1
10/02/2020,Southwest,"College / University",1
10/02/2020,Southwest,"Congregate Setting",1
10/02/2020,Southwest,"Correctional Facility",1
10/04/2020,Southwest,"Long Term Care Facilities",1
10/05/2020,Central,"Congregate Setting",2
10/05/2020,Eastern,"Child Care",1
10/05/2020,Eastern,"Congregate Setting",1
10/05/2020,Northern,"Child Care",1
10/05/2020,Northern,"Congregate Setting",7
10/05/2020,Northern,"Long Term Care Facilities",1
10/05/2020,Northwest,"Congregate Setting",1
10/05/2020,Northwest,"Healthcare Setting",1
10/05/2020,Southwest,"Healthcare Setting",1
10/05/2020,Southwest,"Long Term Care Facilities",1
10/06/2020,Central,"Healthcare Setting",2
10/06/2020,Eastern,"Child Care",1
10/06/2020,Eastern,"College / University",1
10/06/2020,Northwest,"Congregate Setting",1
10/06/2020,Southwest,"Congregate Setting",1
10/06/2020,Southwest,"Long Term Care Facilities",1
10/07/2020,Central,"Congregate Setting",1
10/07/2020,Central,"Healthcare Setting",3
10/07/2020,Eastern,"College / University",1
10/07/2020,Northern,"College / University",1
10/07/2020,Northern,"Congregate Setting",2
10/07/2020,Northwest,"Congregate Setting",1
10/07/2020,Northwest,"Long Term Care Facilities",1
10/08/2020,Central,"Child Care",2
10/08/2020,Northern,"Congregate Setting",2
10/08/2020,Northern,"Long Term Care Facilities",2
10/08/2020,Northwest,"Long Term Care Facilities",1
10/09/2020,Central,"Congregate Setting",2
10/09/2020,Central,"Healthcare Setting",2
10/09/2020,Eastern,"College / University",1
10/09/2020,Eastern,"Long Term Care Facilities",1
10/09/2020,Northern,"Congregate Setting",1
10/09/2020,Northwest,"Long Term Care Facilities",2
10/09/2020,Southwest,"Healthcare Setting",1
10/09/2020,Southwest,"Long Term Care Facilities",1
10/10/2020,Southwest,"Congregate Setting",10
10/10/2020,Southwest,"Healthcare Setting",1
10/10/2020,Southwest,"Long Term Care Facilities",3
10/12/2020,Central,"Healthcare Setting",2
10/12/2020,Northern,"Child Care",1
10/12/2020,Northern,"Long Term Care Facilities",1
10/12/2020,Northwest,"Congregate Setting",1
10/12/2020,Southwest,"Congregate Setting",4
10/13/2020,Central,"Congregate Setting",1
10/13/2020,Eastern,"Congregate Setting",2
10/13/2020,Eastern,K-12,1
10/13/2020,Northern,"Child Care",1
10/13/2020,Northern,"Congregate Setting",1
10/13/2020,Southwest,"Long Term Care Facilities",1
10/14/2020,Central,"Congregate Setting",1
10/14/2020,Central,"Long Term Care Facilities",1
10/14/2020,Northern,"Child Care",1
10/14/2020,Northern,"College / University",1
10/14/2020,Northern,"Congregate Setting",3
10/14/2020,Northern,"Long Term Care Facilities",1
10/14/2020,Northwest,"Long Term Care Facilities",1
10/15/2020,Central,"Child Care",1
10/15/2020,Central,"College / University",1
10/15/2020,Central,"Congregate Setting",2
10/15/2020,Northern,"Congregate Setting",2
10/15/2020,Northwest,"College / University",1
10/16/2020,Central,"Congregate Setting",5
10/16/2020,Central,"Healthcare Setting",2
10/16/2020,Central,"Long Term Care Facilities",1
10/16/2020,Northern,"Congregate Setting",2
10/16/2020,Northwest,"Long Term Care Facilities",1
10/16/2020,Southwest,"Congregate Setting",1
10/16/2020,Southwest,"Long Term Care Facilities",1
10/17/2020,Southwest,"Congregate Setting",1
10/18/2020,Central,"Congregate Setting",1
10/18/2020,Northwest,"Correctional Facility",1
10/19/2020,Central,"College / University",1
10/19/2020,Central,"Correctional Facility",1
10/19/2020,Central,"Healthcare Setting",1
10/19/2020,Central,"Long Term Care Facilities",1
10/19/2020,Eastern,"Child Care",1
10/19/2020,Northern,"Child Care",1
10/19/2020,Northern,"Congregate Setting",2
10/19/2020,Northwest,"Congregate Setting",1
10/19/2020,Northwest,"Correctional Facility",1
10/19/2020,Northwest,"Healthcare Setting",1
10/19/2020,Southwest,"Long Term Care Facilities",1
10/20/2020,Central,K-12,1
10/20/2020,Eastern,"Congregate Setting",3
10/20/2020,Northern,"Congregate Setting",1
10/20/2020,Northern,"Long Term Care Facilities",1
10/20/2020,Southwest,"Congregate Setting",3
10/20/2020,Southwest,"Correctional Facility",1
10/20/2020,Southwest,"Long Term Care Facilities",2
10/21/2020,Central,"College / University",1
10/21/2020,Central,"Congregate Setting",1
10/21/2020,Central,K-12,1
10/21/2020,Eastern,"Congregate Setting",1
10/21/2020,Eastern,K-12,1
10/21/2020,Northern,"Congregate Setting",1
10/21/2020,Southwest,K-12,3
10/21/2020,Southwest,"Long Term Care Facilities",1
10/22/2020,Eastern,"College / University",1
10/22/2020,Eastern,"Congregate Setting",1
10/22/2020,Northern,"Congregate Setting",3
10/22/2020,Northern,"Long Term Care Facilities",1
10/22/2020,Northwest,"College / University",1
10/22/2020,Southwest,K-12,1
10/23/2020,Central,"Congregate Setting",2
10/23/2020,Central,"Healthcare Setting",1
10/23/2020,Central,"Long Term Care Facilities",2
10/23/2020,Northern,"Congregate Setting",1
10/23/2020,Northern,"Long Term Care Facilities",1
10/23/2020,Northwest,"Long Term Care Facilities",1
10/23/2020,Southwest,"Child Care",1
10/23/2020,Southwest,"Congregate Setting",5
10/23/2020,Southwest,"Healthcare Setting",1
10/23/2020,Southwest,K-12,3
10/23/2020,Southwest,"Long Term Care Facilities",8
10/25/2020,Northwest,"Congregate Setting",1
10/25/2020,Northwest,"Long Term Care Facilities",1
10/25/2020,Southwest,"Congregate Setting",1
10/26/2020,Central,"Congregate Setting",2
10/26/2020,Central,"Healthcare Setting",1
10/26/2020,Southwest,"Congregate Setting",1
10/26/2020,Southwest,"Healthcare Setting",1
10/27/2020,Central,"Congregate Setting",1
10/27/2020,Eastern,"Congregate Setting",1
10/27/2020,Eastern,"Correctional Facility",1
10/27/2020,Eastern,"Long Term Care Facilities",1
10/27/2020,Southwest,"Congregate Setting",2
10/27/2020,Southwest,"Long Term Care Facilities",1
10/28/2020,Central,"Congregate Setting",1
10/28/2020,Central,"Correctional Facility",1
10/28/2020,Eastern,"College / University",1
10/28/2020,Eastern,"Congregate Setting",2
10/28/2020,Eastern,"Healthcare Setting",1
10/28/2020,Northern,"Child Care",3
10/28/2020,Northern,"Congregate Setting",2
10/28/2020,Northern,"Healthcare Setting",1
10/28/2020,Northern,"Long Term Care Facilities",1
10/28/2020,Northwest,"College / University",1
10/28/2020,Southwest,"Long Term Care Facilities",3
10/29/2020,Central,"Congregate Setting",1
10/29/2020,Central,"Long Term Care Facilities",1
10/29/2020,Northern,"Congregate Setting",3
10/29/2020,Northwest,K-12,1
10/29/2020,Northwest,"Long Term Care Facilities",1
10/29/2020,Southwest,K-12,1
10/29/2020,Southwest,"Long Term Care Facilities",1
10/30/2020,Central,"Congregate Setting",6
10/30/2020,Central,"Correctional Facility",1
10/30/2020,Central,"Healthcare Setting",2
10/30/2020,Central,K-12,1
10/30/2020,Central,"Long Term Care Facilities",3
10/30/2020,Eastern,K-12,1
10/30/2020,Northern,"Congregate Setting",2
10/30/2020,Southwest,"Congregate Setting",2
10/30/2020,Southwest,"Healthcare Setting",1
10/30/2020,Southwest,"Long Term Care Facilities",1
10/31/2020,Central,"Healthcare Setting",1
10/31/2020,Northern,"Congregate Setting",1
10/31/2020,Northern,"Correctional Facility",1
10/31/2020,Southwest,"Correctional Facility",1
10/31/2020,Southwest,"Long Term Care Facilities",1
11/02/2020,Central,"College / University",1
11/02/2020,Central,"Congregate Setting",1
11/02/2020,Central,"Long Term Care Facilities",1
11/02/2020,Eastern,"Child Care",1
11/02/2020,Northern,"Congregate Setting",1
11/02/2020,Southwest,"Correctional Facility",1
11/02/2020,Southwest,"Long Term Care Facilities",1
11/03/2020,Central,"Congregate Setting",3
11/03/2020,Northern,"Congregate Setting",1
11/03/2020,Northwest,"Long Term Care Facilities",1
11/03/2020,Southwest,"Healthcare Setting",1
11/03/2020,Southwest,K-12,1
11/04/2020,Central,K-12,1
11/04/2020,Central,"Long Term Care Facilities",3
11/04/2020,Eastern,"Correctional Facility",1
11/04/2020,Eastern,"Long Term Care Facilities",2
11/04/2020,Northern,"Congregate Setting",3
11/04/2020,Northern,"Long Term Care Facilities",1
11/04/2020,Northwest,K-12,1
11/04/2020,Southwest,"Congregate Setting",1
11/04/2020,Southwest,K-12,1
11/05/2020,Central,"Congregate Setting",1
11/05/2020,Central,"Long Term Care Facilities",1
11/05/2020,Eastern,"Congregate Setting",1
11/05/2020,Eastern,"Long Term Care Facilities",1
11/05/2020,Northern,"Congregate Setting",3
11/05/2020,Northwest,"Congregate Setting",2
11/05/2020,Northwest,"Long Term Care Facilities",1
11/06/2020,Central,"Long Term Care Facilities",2
11/06/2020,Eastern,"Congregate Setting",1
11/06/2020,Eastern,K-12,1
11/06/2020,Northern,"Congregate Setting",3
11/07/2020,Central,"Congregate Setting",1
11/07/2020,Eastern,"Long Term Care Facilities",1
11/07/2020,Northern,K-12,1
11/08/2020,Southwest,"Long Term Care Facilities",1
11/09/2020,Central,"Congregate Setting",2
11/09/2020,Central,"Healthcare Setting",1
11/09/2020,Eastern,"Child Care",1
11/09/2020,Northern,"Congregate Setting",2
11/09/2020,Northwest,"Long Term Care Facilities",1
11/09/2020,Southwest,"Child Care",1
11/09/2020,Southwest,K-12,2
11/09/2020,Southwest,"Long Term Care Facilities",3
11/10/2020,Central,"Congregate Setting",1
11/10/2020,Eastern,"Healthcare Setting",1
11/10/2020,Northern,"Congregate Setting",4
11/10/2020,Northern,K-12,1
11/10/2020,Northern,"Long Term Care Facilities",1
11/10/2020,Southwest,"Congregate Setting",2
11/10/2020,Southwest,"Healthcare Setting",1
11/10/2020,Southwest,K-12,1
11/10/2020,Southwest,"Long Term Care Facilities",1
11/11/2020,Central,"College / University",1
11/11/2020,Central,"Congregate Setting",3
11/11/2020,Central,"Long Term Care Facilities",3
11/11/2020,Southwest,"Congregate Setting",2
11/11/2020,Southwest,"Correctional Facility",1
11/12/2020,Central,"Long Term Care Facilities",2
11/12/2020,Northern,"Congregate Setting",1
11/12/2020,Northern,K-12,1
11/12/2020,Northwest,K-12,1
11/12/2020,Northwest,"Long Term Care Facilities",1
11/12/2020,Southwest,"Healthcare Setting",1
11/12/2020,Southwest,K-12,1
11/13/2020,Central,"College / University",2
11/13/2020,Central,K-12,1
11/13/2020,Central,"Long Term Care Facilities",1
11/13/2020,Eastern,"Congregate Setting",1
11/13/2020,Eastern,"Long Term Care Facilities",2
11/13/2020,Northern,"Child Care",2
11/13/2020,Northern,"Congregate Setting",5
11/13/2020,Northern,"Long Term Care Facilities",1
11/13/2020,Northwest,K-12,1
11/13/2020,Northwest,"Long Term Care Facilities",1
11/13/2020,Southwest,"Congregate Setting",1
11/13/2020,Southwest,K-12,1
11/14/2020,Northwest,"Congregate Setting",2
11/14/2020,Northwest,"Long Term Care Facilities",1
11/14/2020,Southwest,"Long Term Care Facilities",2
11/15/2020,Central,"Long Term Care Facilities",1
11/15/2020,Southwest,"Congregate Setting",1
11/16/2020,Central,"College / University",1
11/16/2020,Central,"Congregate Setting",2
11/16/2020,Central,"Healthcare Setting",3
11/16/2020,Central,"Long Term Care Facilities",1
11/16/2020,Eastern,"Healthcare Setting",1
11/16/2020,Northwest,"Congregate Setting",1
11/16/2020,Northwest,"Healthcare Setting",1
11/16/2020,Northwest,"Long Term Care Facilities",1
11/16/2020,Southwest,"Healthcare Setting",1
11/16/2020,Southwest,"Long Term Care Facilities",2
11/17/2020,Central,"Congregate Setting",2
11/17/2020,Central,"Healthcare Setting",1
11/17/2020,Northern,"Congregate Setting",1
11/17/2020,Northern,K-12,1
11/17/2020,Northern,"Long Term Care Facilities",2
11/17/2020,Northwest,"Correctional Facility",1
11/17/2020,Northwest,"Long Term Care Facilities",1
11/17/2020,Southwest,"Child Care",1
11/17/2020,Southwest,"Congregate Setting",3
11/17/2020,Southwest,K-12,1
11/17/2020,Southwest,"Long Term Care Facilities",3
11/18/2020,Central,"Congregate Setting",2
11/18/2020,Central,"Long Term Care Facilities",1
11/18/2020,Eastern,"Congregate Setting",1
11/18/2020,Eastern,"Healthcare Setting",1
11/18/2020,Eastern,"Long Term Care Facilities",1
11/18/2020,Northern,"Child Care",1
11/18/2020,Northern,"Congregate Setting",3
11/18/2020,Northern,"Healthcare Setting",1
11/18/2020,Northwest,"Congregate Setting",1
11/18/2020,Northwest,"Healthcare Setting",1
11/18/2020,Southwest,"Congregate Setting",1
11/18/2020,Southwest,"Correctional Facility",1
11/18/2020,Southwest,"Long Term Care Facilities",1
11/19/2020,Central,"Correctional Facility",1
11/19/2020,Central,"Long Term Care Facilities",1
11/19/2020,Eastern,"Long Term Care Facilities",1
11/19/2020,Northern,"Congregate Setting",3
11/19/2020,Northern,K-12,1
11/19/2020,Northern,"Long Term Care Facilities",4
11/19/2020,Northwest,"Congregate Setting",1
11/19/2020,Northwest,"Healthcare Setting",3
11/19/2020,Northwest,"Long Term Care Facilities",1
11/19/2020,Southwest,"Child Care",1
11/19/2020,Southwest,"Congregate Setting",2
11/19/2020,Southwest,"Long Term Care Facilities",1
11/20/2020,Central,"Congregate Setting",4
11/20/2020,Central,"Healthcare Setting",1
11/20/2020,Central,"Long Term Care Facilities",1
11/20/2020,Eastern,K-12,1
11/20/2020,Northern,"Congregate Setting",2
11/20/2020,Northwest,"Congregate Setting",1
11/20/2020,Northwest,K-12,1
11/21/2020,Eastern,K-12,1
11/21/2020,Eastern,"Long Term Care Facilities",1
11/21/2020,Northern,"Long Term Care Facilities",1
11/22/2020,Eastern,"Long Term Care Facilities",1
11/22/2020,Northwest,"Long Term Care Facilities",1
11/23/2020,Central,"Correctional Facility",1
11/23/2020,Central,K-12,1
11/23/2020,Eastern,"Long Term Care Facilities",2
11/23/2020,Northern,"Long Term Care Facilities",3
11/23/2020,Southwest,"Correctional Facility",1
11/24/2020,Central,"Child Care",1
11/24/2020,Central,"College / University",1
11/24/2020,Central,"Long Term Care Facilities",1
11/24/2020,Eastern,"Correctional Facility",1
11/24/2020,Eastern,K-12,1
11/24/2020,Northern,"Child Care",1
11/24/2020,Northern,"Congregate Setting",2
11/24/2020,Northern,"Long Term Care Facilities",3
11/24/2020,Northwest,"Long Term Care Facilities",2
11/24/2020,Southwest,"Long Term Care Facilities",3
11/25/2020,Central,"Congregate Setting",1
11/25/2020,Central,"Healthcare Setting",1
11/25/2020,Central,"Long Term Care Facilities",1
11/25/2020,Eastern,"Correctional Facility",1
11/25/2020,Eastern,"Healthcare Setting",1
11/25/2020,Eastern,"Long Term Care Facilities",1
11/25/2020,Northern,"Congregate Setting",2
11/25/2020,Northern,"Long Term Care Facilities",1
11/25/2020,Northwest,"Congregate Setting",1
11/25/2020,Southwest,"Long Term Care Facilities",1
11/26/2020,Northwest,"Long Term Care Facilities",1
11/27/2020,Central,"Long Term Care Facilities",4
11/27/2020,Northwest,"Long Term Care Facilities",1
11/27/2020,Southwest,"Long Term Care Facilities",1
11/28/2020,Central,"Child Care",1
11/28/2020,Eastern,K-12,1
11/30/2020,Central,"Congregate Setting",1
11/30/2020,Central,"Correctional Facility",1
11/30/2020,Central,"Long Term Care Facilities",1
11/30/2020,Eastern,"Congregate Setting",3
11/30/2020,Eastern,K-12,1
11/30/2020,Northern,"Congregate Setting",2
11/30/2020,Northern,K-12,1
11/30/2020,Northwest,"Congregate Setting",1
11/30/2020,Northwest,"Healthcare Setting",2
11/30/2020,Southwest,K-12,1
12/01/2020,Central,"Congregate Setting",1
12/01/2020,Central,"Healthcare Setting",4
12/01/2020,Eastern,"Congregate Setting",1
12/01/2020,Eastern,"Long Term Care Facilities",2
12/01/2020,Northern,"Child Care",1
12/01/2020,Northern,"Congregate Setting",3
12/01/2020,Northern,"Healthcare Setting",1
12/01/2020,Northern,"Long Term Care Facilities",2
12/01/2020,Northwest,"Congregate Setting",1
12/01/2020,Northwest,"Long Term Care Facilities",1
12/01/2020,Southwest,"Correctional Facility",1
12/01/2020,Southwest,"Long Term Care Facilities",2
12/02/2020,Central,"Correctional Facility",1
12/02/2020,Central,"Healthcare Setting",3
12/02/2020,Central,K-12,2
12/02/2020,Central,"Long Term Care Facilities",1
12/02/2020,Eastern,"Child Care",1
12/02/2020,Eastern,"College / University",1
12/02/2020,Eastern,"Congregate Setting",2
12/02/2020,Eastern,"Long Term Care Facilities",3
12/02/2020,Northern,"Congregate Setting",3
12/02/2020,Southwest,"Child Care",1
12/02/2020,Southwest,"Congregate Setting",1
12/02/2020,Southwest,"Long Term Care Facilities",1
12/03/2020,Central,"College / University",1
12/03/2020,Central,"Congregate Setting",1
12/03/2020,Central,"Correctional Facility",1
12/03/2020,Central,"Healthcare Setting",1
12/03/2020,Central,"Long Term Care Facilities",3
12/03/2020,Eastern,"Congregate Setting",1
12/03/2020,Northern,"Child Care",1
12/03/2020,Northern,"Congregate Setting",1
12/03/2020,Northern,K-12,1
12/03/2020,Northwest,"Healthcare Setting",1
12/03/2020,Northwest,K-12,1
12/03/2020,Northwest,"Long Term Care Facilities",3
12/04/2020,Central,"Congregate Setting",1
12/04/2020,Central,"Healthcare Setting",2
12/04/2020,Central,K-12,1
12/04/2020,Central,"Long Term Care Facilities",1
12/04/2020,Eastern,"Long Term Care Facilities",1
12/04/2020,Northern,"Child Care",2
12/04/2020,Northern,"Congregate Setting",1
12/04/2020,Northern,"Correctional Facility",1
12/04/2020,Northern,"Long Term Care Facilities",2
12/04/2020,Northwest,"Congregate Setting",1
12/04/2020,Northwest,"Correctional Facility",1
12/04/2020,Southwest,"Congregate Setting",1
12/05/2020,Central,K-12,1
12/05/2020,Central,"Long Term Care Facilities",2
12/05/2020,Northern,"Long Term Care Facilities",1
12/05/2020,Northwest,"Congregate Setting",1
12/05/2020,Northwest,"Healthcare Setting",1
12/06/2020,Central,"Healthcare Setting",1
12/06/2020,Northern,"Correctional Facility",1
12/07/2020,Central,"Congregate Setting",2
12/07/2020,Central,"Long Term Care Facilities",3
12/07/2020,Eastern,"Congregate Setting",2
12/07/2020,Eastern,K-12,1
12/07/2020,Northern,"Congregate Setting",4
12/07/2020,Northern,"Healthcare Setting",1
12/07/2020,Northern,K-12,1
12/07/2020,Northern,"Long Term Care Facilities",1
12/07/2020,Northwest,"Healthcare Setting",1
12/07/2020,Northwest,"Long Term Care Facilities",2
12/07/2020,Southwest,"Congregate Setting",1
12/07/2020,Southwest,"Long Term Care Facilities",1
12/08/2020,Central,"Congregate Setting",2
12/08/2020,Central,"Healthcare Setting",2
12/08/2020,Central,"Long Term Care Facilities",1
12/08/2020,Eastern,"Child Care",1
12/08/2020,Eastern,"Long Term Care Facilities",1
12/08/2020,Northern,"Congregate Setting",1
12/08/2020,Northern,"Long Term Care Facilities",3
12/08/2020,Northwest,"Healthcare Setting",1
12/08/2020,Northwest,"Long Term Care Facilities",2
12/08/2020,Southwest,"College / University",1
12/08/2020,Southwest,"Congregate Setting",2
12/08/2020,Southwest,K-12,1
12/08/2020,Southwest,"Long Term Care Facilities",2
12/09/2020,Central,"College / University",1
12/09/2020,Central,"Congregate Setting",2
12/09/2020,Central,"Healthcare Setting",1
12/09/2020,Central,"Long Term Care Facilities",1
12/09/2020,Eastern,"Correctional Facility",2
12/09/2020,Eastern,"Long Term Care Facilities",4
12/09/2020,Northwest,"Correctional Facility",1
12/09/2020,Northwest,"Long Term Care Facilities",1
12/09/2020,Southwest,"Congregate Setting",1
12/09/2020,Southwest,"Long Term Care Facilities",1
12/10/2020,Central,"Congregate Setting",2
12/10/2020,Central,"Long Term Care Facilities",4
12/10/2020,Eastern,"Congregate Setting",1
12/10/2020,Eastern,"Long Term Care Facilities",1
12/10/2020,Northern,"Long Term Care Facilities",1
12/10/2020,Northwest,"Long Term Care Facilities",1
12/10/2020,Southwest,"Long Term Care Facilities",2
12/11/2020,Central,"Congregate Setting",1
12/11/2020,Central,"Healthcare Setting",2
12/11/2020,Central,"Long Term Care Facilities",3
12/11/2020,Eastern,"Long Term Care Facilities",1
12/11/2020,Northern,"Congregate Setting",3
12/11/2020,Northern,"Long Term Care Facilities",5
12/11/2020,Northwest,"Congregate Setting",2
12/11/2020,Northwest,"Correctional Facility",1
12/11/2020,Northwest,"Healthcare Setting",1
